assay_id	assay_type	description	method	annotated_method	evaluation
907907	F	Herbicidal activity against Lolium rigidum accession A11 assessed as fresh weight reduction applied at 1 times pre-emergence recommended rate applied in pots where terbufos had been incorporated into the soil relative to untreated control			TN
2117510	F	Cell cycle arrest in human U-87 MG cells assessed as accumulation at G2/M phase at 8 uM incubated for 48 hrs by PI staining based flow cytometry assay (Rvb = 8%)	PI staining based flow cytometry assay	PI staining based flow cytometry assay	TP
1360279	F	Inhibition of morphine sulfate-induced analgesic activity in Swiss-Webster mouse at 2 to 32 mg/kg, sc after 2 to 4 hrs			TN
643747	F	Cytotoxicity against human SK-MEL-2 cells by SRB assay	SRB assay	SRB assay	TP
1366797	F	Antiviral activity against Influenza A virus (A/Vietnam/1194/2004(H5N1)) infected in MDCK cells assessed as inhibition of viral production at 30 uM treated 4 to 8 hrs post viral infection measured after 2 hrs by crystal violet staining-based plaque reduction assay	crystal violet staining-based plaque reduction assay	crystal violet staining-based plaque reduction assay	TP
1571633	F	Induction of cell cycle arrest in human HCT116 cells assessed as accumulation at G1 phase at 5 uM after 24 hrs by propidium iodide staining-based flow cytometry (Rvb = 28%)	propidium iodide staining-based flow cytometry	propidium iodide staining-based flow cytometry	TP
706251	F	Antimicrobial activity in Fusobacterium varium by CLSI agar dilution method in presence of clavulanate	CLSI agar dilution method	CLSI agar dilution method	TP
112188	F	The compound was evaluated for the median survival time (MST) in mice infected with cisplatin sensitive L1210 Leukemia (dose 80 mg/kg, ip), day 9			TN
1859750	F	Antibacterial activity against Staphylococcus aureus NCTC12204 assessed as generation of drug resistance at 2 times MIC measured after 48 hrs by agar-based microbroth dilution method	agar-based microbroth dilution method	agar-based microbroth dilution method	TP
941967	F	Antimicrobial activity against acrAB, tolC-deficient Escherichia coli str. K-12 substr. MG1655 measured after overnight incubation by serial dilution method in presence of erythromycin in iron depleted medium	serial dilution method	serial dilution method	TP
956788	F	Antioxidant activity of the compound assessed as DPPH radical scavenging activity after 30 mins by spectrophotometry	spectrophotometry	spectrophotometry	TP
2110807	F	Antiproliferative activity against human HCT-116 cells assessed as decrease in cell population at S-phase at 1.25 to 10 uM measured after 24 hrs by EdU incorporation based fluorescence microscopic analysis	EdU incorporation based fluorescence microscopic analysis	EdU incorporation based fluorescence microscopic analysis	TP
1922284	F	Cytotoxicity against gefitinib-resistant human HCC827 cells assessed as inhibition of cell proliferation by MTS assay	MTS assay	MTS assay	TP
220265	F	Inhibitory concentration against human rotavirus MO strain			TN
183558	F	TNF-alpha inhibiting activity was assessed by In vivo inhibition of serum TNF production in rat at 50 mg/kg, peroral administration; Not tested (74% at 100 mg/kg, p.o.)	In vivo inhibition of serum		FP
991732	F	Cytoprotective activity in rat L6 cells assessed as increase in glucose oxidase-reduced cell survival at 25 uM incubated for 12 hrs prior to glucose oxidase challenge measured after 5 hrs by MTT assay in presence of 23.5 mM D-glucose	MTT assay	MTT assay	TP
915240	F	Antifeedant activity against fifth instar larvae of Spodoptera littoralis fed on compound-treated lettuce leaf at 10 ug/cm'2 by leaf-disk method	leaf-disk method	leaf-disk method	TP
185110	F	Effect in the anti ovulatory assay (AOA) in rats expressed as no. of rats ovulating/No of rats treated at 1.0 mg; 5/5			TN
75985	F	Cytotoxicity in vitro expressed as 50% reduction in cell number after a 3-day incubation, in human ileocecal carcinoma HCT-8 cell line			TN
2148298	F	Antiosteoporotic activity against OVX-induced bone loss C57BL/6 mouse model assessed as increase in microarchitectures at 10 mg/kg, po for 6 weeks by microcomputed tomography method relative to sham treated control	microcomputed tomography method	microcomputed tomography method	TP
811800	F	Antidiabetic activity in diet-induced ICR mouse T2DM model assessed as increase in plasma insulin level at 5 mg/kg, ip after 60 mins by ELISA (Rvb = 123.5 +/- 10.2 pmol/L)	ELISA	ELISA	TP
748380	F	Antimicrobial activity against Candida tropicalis isolate 33 after 48 hrs by microdilution broth method	microdilution broth method	microdilution broth method	TP
2224500	F	Antiproliferative activity against human SW480 cells assessed as cell growth inhibition			TN
1924496	F	Antitubercular activity against Mycobacterium tuberculosis H37Rv by radiometric assay	radiometric assay	radiometric assay	TP
2061571	F	Growth inhibition of human MDA-MB-231 cells incubated for 48 hrs by sulforhodamine B assay	sulforhodamine B assay	sulforhodamine B assay	TP
150010	F	Percent increase in life span of p388 murine leukemia cells (inoculated i.p. on day 0) as compared to that of untreated group at 0.125 mg/kg i.p. compound dose on day 1			TN
2275052	F	Antioxidant activity assessed as DPPH radical scavenging activity measured after 30 mins by spectrophotometric analysis	spectrophotometric analysis	spectrophotometric analysis	TP
697307	F	Antimicrobial activity against Beta-hemolytic Streptococcus sp. 'group A' assessed as growth inhibition at 0.12 ug/ml by broth microdilution method	broth microdilution method	broth microdilution method	TP
171608	F	Neuronal selectivity expressed as Concentration in right ventricle after iv administration in rat, pretreated with 6-hydroxydopamine (control = 4.10+/-0.23)			TN
1586235	B	Displacement of [3H]8-OH-DPAT from human recombinant 5HT1A receptor incubated for 1.5 hrs by microbeta scintillation counting method	microbeta scintillation counting method	microbeta scintillation counting method	TP
1586152	B	Inhibition of recombinant human C-terminal His-tagged AMPK alpha1 expressed in baculovirus infected Spodoptera frugiperda cells coexpressing human C-terminal His-tagged AMPKbeta1/gamma1 at 1 uM by radiometric assay relative to control	radiometric assay		FP
2284101	B	Binding affinity to human recombinant ALK L1196M mutant (1093 to 1411 residues) assessed as inhibition constant using 5'FAM-KKSRGDYMTMQIG-CONH2 peptide as substrate in presence of ATP by micro-fluidic mobility shift assay	inhibition constant	micro-fluidic mobility shift assay	PM
1515453	B	Binding affinity to dopamine D4 receptor (unknown origin) at 0.1 mM by radioligand displacement assay relative to control	radioligand displacement assay		FP
1675172	B	Inhibition of human partial length PIK3CA Q546K mutant (R108 to N1068 residues) expressed in mammalian expression system assessed as residual activity at 1 uM by Kinomescan method relative to control	Kinomescan method	Kinomescan method	TP
972450	B	Binding affinity to human RPA70N expressed in Escherichia coli BL21 (DE3) assessed as inhibition of interaction with FITC-Ahx-DFTADDLEELDTLAS-NH2 after 1 hr by fluorescence polarization anisotropy assay	fluorescence polarization anisotropy assay	fluorescence polarization anisotropy assay	TP
31375	B	Binding affinity towards human Adenosine A2A receptor			TN
741339	B	Inhibition of caspase 1 by fluorometric assay	fluorometric assay	fluorometric assay	TP
90702	B	In vitro anti-HIV integrase activity against integration (strand transfer) of target plasmid; Not determined	In vitro anti-HIV integrase activity against integration		FP
565683	B	Inhibition of human HDAC11			TN
2148810	B	Stabilization of human plasma TTR assessed as inhibition of formation of high molecular weight forms of TTR with acetate buffer at pH 4 by measured at 50 uM after 72 hrs by acid-induced aggregation assay	acid-induced aggregation assay	acid-induced aggregation assay	TP
47396	B	Second-order rate constants for the inactivation of mammalian lysosomal cathepsin B; no inhibition			TN
947690	B	Mixed type inhibition of baker's yeast alpha-glucosidase by Dixon plot analysis	Dixon plot analysis	Dixon plot analysis	TP
38889	B	Inhibitory activity against beta adrenergic receptor of rat frontal cortex homogenate using (1.0 nM) [3H]- dihydroalprenolol; nd is No Data.			TN
162041	B	Inhibition of protein kinase A mediated histone phosphorylation			TN
2034408	B	Displacement of [3H]-citalopram from human SERT at 10 uM by liquid scintillation counting	liquid scintillation counting	liquid scintillation counting	TP
1860372	B	Inhibition of c-KIT 560 to 578 deletion mutant in human GISTT1 cells assessed as reduction in STAT3 phosphorylation at Y705 residue at 0.1 uM measured after 2 hrs by Western blot analysis	Western blot analysis	Western blot analysis	TP
2109934	B	Inhibition of KPC-2 (unknown origin) expressed in Escherichia coli BL21 (DE3) incubated for 3 mins by spectrophotometric analysis	spectrophotometric analysis	spectrophotometric analysis	TP
1688178	B	Displacement of [3H]U-69593 from recombinant human kappa opioid receptor expressed in CHO cell membranes after 120 mins by liquid scintillation counter analysis	liquid scintillation counter analysis	liquid scintillation counter analysis	TP
1781320	B	Inhibition of human DNA topoisomerase 2 alpha-mediated DNA relaxation at 20 uM incubated for 30 mins using using pBR322 DNA substrate by ethidium bromide dye-based agarose gel electrophoresis	ethidium bromide dye-based | agarose gel electrophoresis	ethidium bromide dye-based agarose gel electrophoresis	PM
536504	B	Inhibition of TSSK1 at 3 uM			TN
873819	B	Stimulation of Staphylococcus aureus FtsZ assembly and bundling at 20 ug/mL by transmission electron microscopy	transmission electron microscopy	transmission electron microscopy	TP
858048	B	Inhibition of GSK3beta-mediated Tau S202/T205 phosphorylation in mouse N2A cells at 2.6 to 24 uM after 16 hrs by immunoblot analysis	immunoblot analysis	immunoblot analysis	TP
631491	B	Displacement of [3H]estradiol from human ERalpha expressed in african green monkey COS1 cells assessed as relative binding affinity after 2 hrs by liquid scintillation counting relative to estradiol	liquid scintillation counting	liquid scintillation counting	TP
2315302	B	Binding affinity to HDAC3 (unknown origin) assessed as binding constant(k2)			TN
1473155	B	Activation of recombinant human ALDH1A3 using propionaldehyde as substrate at 20 uM preincubated for 2 mins with NAD+ followed by substrate addition by UV-Vis spectrophotometric analysis	UV-Vis spectrophotometric analysis	UV-Vis spectrophotometric analysis	TP
31511	B	Displacement of [3H]SCH-58261 from human Adenosine A2A receptor expressed in HEK293 cells; range 103-142			TN
2557	B	Binding affinity analysed on 5-HT 2A in rat stomach fundus.			TN
62479	B	Binding affinity to dopamine transporter (DAT) in rat forebrain tissue			TN
1665365	B	Inhibition of human URAT1 expressed in HEK293T cells assessed as reduction in [14C]uric acid uptake at 30 uM after 5 mins by liquid scintillation counting method relative to control	liquid scintillation counting	liquid scintillation counting method	PM
1586506	B	Inhibition of Nrf2-Keap1 (unknown origin) interaction co-expressed in HEK293T cells using D-luciferin as substrate assessed as decrease in luciferase signal intensity incubated for 24 hrs by bioluminescence-based IVIS imaging analysis	bioluminescence-based IVIS imaging analysis	bioluminescence-based IVIS imaging analysis	TP
105834	B	In vitro inhibitory concentration against human Melanocortin 1 receptor (MC1R)	In vitro inhibitory concentration against human Melanocortin 1 receptor		FP
572241	B	Inhibition of human ELOVL1 expressed in Pichia pastoris SND1168			TN
1903169	B	Inhibition of GRK5 (unknown origin) at 1 uM relative to control			TN
200469	F	Minimum inhibitory concentration against Shigella flexneri			TN
542049	F	Ex vivo inhibition of intracellular interferon gamma production in T-lymphocytes of IL2-stimulated kidney transplanted cynomolgus monkey model measured before transplantation by flow cytometry	flow cytometry	flow cytometry	TP
927252	F	Herbicidal activity against Rotala indica assessed as compound application rate causing complete weed control measured 30 days after compound treatment under green house conditions			TN
56125	F	Effect of compound (given intravenously) on heart rate in conscious renal hypertensive dogs at 4 h			TN
55775	F	Non-toxic dose in dogs after 4 weeks of oral administration; Not tested			TN
2353550	F	Antibacterial activity against Pseudomonas aeruginosa assessed as inhibition of bacterial growth at 1.25 to 40 uM by microtiter plate reader analysis	microtiter plate reader analysis		FP
927142	F	Herbicidal activity against Capsella bursa-pastoris in wheat cultivar Dongmai 12 field assessed as decrease in biomass applied during late tillering stage of winter wheatat 525 g ai/h measured after 45 days under field trials			TN
1972344	F	Induction of apoptosis in human MDA-MB-231 cells assessed as necrotic cells at 20 uM measured after 48 hrs by Annexin V-FITC/propidium iodide staining based flow cytometry (0.498%)	Annexin V-FITC/propidium iodide staining based flow cytometry	Annexin V-FITC/propidium iodide staining based flow cytometry	TP
1743090	F	Anti-inflammatory activity in ip dosed C57BL/6 mouse model of DSS-induced ulcerative colitis assessed reduction in TNFalpha levels in colonic tissues co-administrated once daily with DSS measured on day 7 post dose by ELISA	ELISA	ELISA	TP
2083070	F	Growth inhibition of human RXF 393 cells at 10 uM incubated for 48 hrs by sulforhodamine B assay relative to control	sulforhodamine B assay	sulforhodamine B assay	TP
1839283	F	Antibacterial activity against Acinetobacter baumannii isolate 1018887 measured after 24 hrs by microtiter dilution method	microtiter dilution method	microtiter dilution method	TP
1564166	F	Antibiofilm activity against Staphylococcus aureus clinical isolate USA300 assessed as disruption of 72 hr-preformed biofilm at 6.2 uM incubated for 24 hrs by XTT assay in presence of 1.6 uM vancomycin	XTT assay	XTT assay	TP
1752141	F	Antiproliferative activity against human A549 cells after 24 hrs by MTT assay	MTT assay	MTT assay	TP
191026	F	Serum glucose level in STZ-male wistar rats treated orally for 1 week			TN
1746547	F	Antifungal activity against Candida albicans ATCC 44859 after 24 to 48 hrs by microdilution broth method	microdilution broth method	microdilution broth method	TP
636531	F	Cytotoxicity against human EKVX cells assessed as cell growth at 10 uM			TN
160992	F	Minimum inhibitory concentration required for antibacterial activity against Providencia			TN
1670698	F	Antidiabetic nephropathic activity in db/db mouse assessed as reduction in 24 hrs urine volume at 1 to 2 mg/kg, ip administered thrice per week for 12 consecutive weeks measured at 11 weeks post dose			TN
827807	F	Growth inhibition of human Caki1 cells after 48 hrs by sulforhodamine B assay	sulforhodamine B assay	sulforhodamine B assay	TP
2080017	F	Antiproliferative activity against human HT-29 cells assessed as inhibition of cell growth after 72 hrs by XTT assay	XTT assay	XTT assay	TP
55834	F	Left ventricular refractory period was determined by intraduodenal administration of two dosages of 20 mg/kg of (high dose) compound in anesthetized dogs. Value was reported for experiment 2	intraduodenal administration of two dosages of 20 mg/		FP
63277	F	Antibacterial activity against Enterococcus faecalis W-73			TN
1772218	F	Antiproliferative activity against human K562 cells after 72 hrs by CellTiter-Glo assay	CellTiter-Glo assay	CellTiter-Glo assay	TP
821151	F	Antagonist activity at VEGFR2			TN
955923	F	Cytotoxicity against human HepG2 cells			TN
554654	F	Antibacterial activity against erythromycin-resistant Streptococcus pneumoniae isolate-2 with gyrA Ser81Phe, Ser114Gly, ParC Ser52Gly, Ser79Phe, Asn91Asp and parE Ile460Val mutation by broth microdilution method	broth microdilution method	broth microdilution method	TP
1515666	F	Induction of diuresis in mongrel dog at 3 mg/kg, po after 24 hrs relative to control			TN
1786379	F	Inhibition of ergosterol biosynthesis in fluconazole susceptible Candida albicans ATCC 90028 at 8 ug/ml relative to control			TN
693795	F	Antifungal activity against Candida tropicalis 156 after 48 hrs by broth microdilution method	broth microdilution method	broth microdilution method	TP
214290	F	Antiviral and cytostatic effects against Sindbis virus expressed in Vero cells			TN
71940	F	Ex vivo inhibition of U-4669 induced guinea pig platelet aggregation after 1 hr post oral administration at a dose of 10 mg/kg; Aggregation ratio = EC50 for drug/EC50 for control			TN
166253	F	Bioconversion to albendazole sulfonic in rats at 12 hr			TN
595340	F	Antiproliferative activity against human SKOV3 cells expressing adenoviral MDR1 after 48 hrs by SRB assay	SRB assay	SRB assay	TP
188317	F	DOM appropriate responses per min when compound administered at 12 mg/kg			TN
182198	F	Tested for the inhibition of angiotensin I (AI) pressor response after 0.5 hour following an oral dose of 10 mg/kg			TN
459613	F	Antifungal activity against Fusarium brasilicum assessed as mycelial growth at 15 mg/disk by filter disk method relative to control	filter disk method	filter disk method	TP
56844	F	Percent increase in contractile force (CF) in anesthetized open-chest dogs iv administration of 8.75 mg/kg			TN
1936307	F	Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay	MTT assay	MTT assay	TP
110028	F	Effective dose in mice by horizontal screen assay (administered orally); No effect at highest dose of 400 mg/kg	horizontal screen assay	horizontal screen assay	TP
1846937	F	Induction of apoptosis in human MCF7 cells assessed as viable cells at 50 uM after 24 hrs by Annexin V-FITC/propidium iodide staining-based flow cytometric analysis (Rvb = 92.1%)	Annexin V-FITC/propidium iodide staining-based flow cytometric analysis	Annexin V-FITC/propidium iodide staining-based flow cytometric analysis	TP
65537	F	In vitro minimum inhibitory concentration was determined for antibacterial activity against Enterobacter cloacae p99 strain.	In vitro minimum inhibitory concentration was determined for antibacterial activity against		FP
813747	F	Antiviral activity against Hepatitis C virus genotype 1b expressing NS3/4A protease D158V mutant infected in HuH7 cells			TN
917860	F	Pre-emergence herbicidal activity against Brassica napus (oilseed rape) assessed as growth inhibition at 1.5 ai kg/ha under green house conditions			TN
1615464	F	Effect on HMGB2 gene expression in serum-starved HUVEC after 24 hrs by microarray analysis relative to control	microarray analysis	microarray analysis	TP
219327	F	Compound was tested for accumulation of (50 uM) boronated polyamines in human U251 glioblastoma cells ncubated with 5 mM DFMO			TN
551767	F	Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 after 48 hrs			TN
1676914	F	Growth inhibition of human OCI-LY10 cells at 0.3 uM after 3 days in presence of 0.0003 uM ibrutinib by AlamarBlue assay (Rvb = - 2 %)	AlamarBlue assay	AlamarBlue assay	TP
928117	F	Herbicidal activity against ALS-inhibiting herbicide-resistant six to eight-leaf stage Bifora radians infested wheat field at 15 to 20 g/ha applied by spraying measured after 14 to 56 days post treatment	spraying measured		FP
1670221	F	Antiallodynic activity in oxaliplatin-induced Albino Swiss CD-1 mouse model of peripheral neuropathy assessed as elevation in pain sensitivity threshold at 150 mg/kg, ip administered 30 mins prior to oxaliplatin challenge relative to control			TN
1284364	F	Antimycobacterial activity against Mycobacterium kansasii My 235/80 after 7 days			TN
80675	F	Antiviral activity against TK+VZV virus infected HEL cell lines.			TN
1994556	F	Induction of apoptosis in human T24 cells assessed as upregulation of Bcl-2 expression at 2 to 8 uM by Western blot analysis	Western blot analysis	Western blot analysis	TP
31974	F	In vitro inhibition of human neutrophil activation against Adenosine A2A receptor; No data	In vitro inhibition of human neutrophil		FP
2286370	F	Growth inhibition of human OCILY10 cells at 10 uM incubated for 3 days in presence of 0.17 uM acalabrutinib relative to control			TN
721924	F	Antibacterial activity against beta lactamase-positive Haemophilus influenzae assessed as resistant isolates by CLSI M7-A7 broth microdilution method	CLSI M7-A7 broth microdilution method	CLSI M7-A7 broth microdilution method	TP
